순번,호선,역명,위치정보
1,1호선,서울역A,1번출구에서 4호선 환승통로 내부
2,1호선,서울역B,1번출구에서 4호선 환승통로 내부
3,1호선,서울역D,2번출구/3번출구 복도 사이
4,1호선,서울역E,2번출구/3번출구 복도 사이/화장실 주변
5,1호선,시청A,2번출구와 1번출구사이 게이트 옆
6,1호선,시청B,1번출구와 2번출구 사이 통로
7,1호선,종각A,B1 4번출구 앞
8,1호선,종각B,3번출구 주변 게이트 옆
9,1호선,종로3가A,1번출구 복도끝 화장실 맞은편
10,1호선,종로3가B,11번출구 화장실 맞은편
11,1호선,종로5가A,7번출구/8번출구 주변 상가 맞은편
12,1호선,동대문A,1번출구 주변
13,1호선,동대문B,2번출구/3번출구 주변
14,1호선,신설동A,1번출구 내부 화장실 주변
15,1호선,제기동,B1 2번출구 계단밑
16,1호선,청량리,B2 4번출구 계단 밑
17,1호선,동묘앞A,3번출구 내부 에스컬레이터 주변
18,2호선,시청C,8번출구에서 1호선 환승 방향
19,2호선,을지로입구A,중앙 게이트 주변
20,2호선,을지로입구B,3번출구/4번출구 게이트 옆
21,2호선,을지로3가A,2번출구/3번출구 중간 화장실 앞
22,2호선,을지로4가A,1번출구/2번출구 주변 화장실 옆
23,2호선,동대문역사문화공원A,1번출구 주변
24,2호선,동대문역사문화공원B,1번출구/상가 주변
25,2호선,신당A,2번출구/3번출구 사이 복도
26,2호선,상왕십리,2번출구/3번출구/4번출구 사이 복도
27,2호선,왕십리A,3번출구 주변
28,2호선,한양대,2번출구/현혈의 집 옆
29,2호선,뚝섬,1번출구/2번출구/7번출구/8번출구 주변
30,2호선,성수,1번출구/4번출구 주변
31,2호선,건대입구A,6번출구 주변
32,2호선,건대입구B,2번출구 주변
33,2호선,건대입구C,5번출구 주변
34,2호선,구의,1번출구/4번출구/고객안내센터 맞은편
35,2호선,강변A,3번출구/4번출구 중간 화장실 맞은편
36,2호선,강변B,3번출구 주변
37,2호선,강변C,3번출구 주변
38,2호선,잠실나루,3번출구/4번출구 중간 화장실 앞
39,2호선,잠실A,1번출구/2번출구에서 3번출구/4번출구 방향 통로 내부
40,2호선,잠실B,1번출구/2번출구에서 3번출구/4번출구 방향 통로 내부
41,2호선,잠실C,1번출구/2번출구에서 3번출구/4번출구 방향 통로 내부
42,2호선,잠실D,1번출구/2번출구에서 3번출구/4번출구 방향 통로 내부
43,2호선,잠실새내,7번출구 주변
44,2호선,종합운동장A,5번출구 주변 게이트 옆
45,2호선,종합운동장B,종합운동장역 6번출구 야구장방향
46,2호선,삼성A,3~6번출구 역무원실 앞
47,2호선,삼성B,1번출구/2번출구와 7번출구/8번 중간
48,2호선,삼성C,3번출구/4번출구
49,2호선,선릉A,1번출구 화장실 맞은편
50,2호선,선릉B,5번출구에서 10번출구 내부 통로
51,2호선,역삼,3번출구/4번출구 화장실 앞
52,2호선,강남A,1번출구/12번 출입 게이트 옆
53,2호선,강남B,1번출구와 8번출구 사이 통로
54,2호선,교대A,지하1층 6번출구/7번출구 주변
55,2호선,서초,8번출구 주변
56,2호선,방배,4번출구 방향
57,2호선,사당A,13번출구/14번출구
58,2호선,낙성대,7번출구/8번출구 주변
59,2호선,서울대입구,5번출구/6번출구 주변 화장실 옆
60,2호선,봉천,4번출구(3번출구/4번출구 기둥 앞)
61,2호선,신림A,3번출구/4번출구 주변. 아이센터 옆
62,2호선,신림B,1번출구/8번출구 사이 벽면
